id,region,month,year,kwh,bill_amount,household_size,submitter_name,created_at
106,Sud-Ouest,3,2026,93.4,4670.0,5,Catherine Moreau,2025-05-14 13:22:55.137745
107,Est,9,2026,128.35,6949.0,4,Luc Fontaine,2025-07-21 13:22:55.137745
108,Sud,3,2025,73.31,3665.0,6,Stephanie Vincent,2025-06-06 13:22:55.137745
109,Nord-Ouest,3,2026,125.49,6723.0,8,Anne Leblanc,2025-10-20 13:22:55.137745
110,Extrême-Nord,7,2026,27.92,1396.0,1,Emma Mercier,2025-09-04 13:22:55.137745
111,Extrême-Nord,1,2024,20.0,1000.0,3,Thomas Dufour,2025-07-26 13:22:55.137745
112,Littoral,3,2026,138.15,7724.0,4,Florence Mathieu,2025-08-27 13:22:55.137745
113,Adamaoua,8,2026,128.43,6956.0,2,Claude Rousseau,2025-05-28 13:22:55.137745
114,Adamaoua,9,2026,201.78,12751.0,9,Jean Dupont,2025-10-07 13:22:55.137745
115,Sud-Ouest,2,2026,54.01,2700.0,3,Stephanie Vincent,2025-09-14 13:22:55.137745
116,Extrême-Nord,1,2026,33.14,1657.0,1,Luc Fontaine,2025-11-18 13:22:55.137745
117,Centre,8,2026,151.12,8749.0,6,Florence Mathieu,2025-06-06 13:22:55.137745
118,Ouest,2,2025,82.12,4106.0,1,Marie Martin,2025-04-29 13:22:55.137745
119,Est,8,2025,111.8,5642.0,2,Marc Leduc,2025-12-25 13:22:55.137745
120,Extrême-Nord,2,2025,20.0,1000.0,2,Marc Leduc,2025-11-24 13:22:55.137745
121,Littoral,8,2025,157.24,9232.0,3,Marie Martin,2025-11-16 13:22:55.137745
122,Littoral,8,2025,138.04,7715.0,7,Marc Leduc,2025-08-21 13:22:55.137745
123,Adamaoua,9,2025,51.19,2560.0,7,Nicolas Garnier,2025-07-29 13:22:55.137745
124,Est,6,2026,51.17,2558.0,3,Stephanie Vincent,2025-06-21 13:22:55.137745
125,Sud,6,2024,48.76,2438.0,8,Isabelle Lefevre,2025-09-29 13:22:55.137745
126,Nord-Ouest,3,2026,119.59,6257.0,6,Isabelle Lefevre,2025-11-06 13:22:55.137745
127,Extrême-Nord,1,2025,39.59,1979.0,9,Benjamin Leroy,2025-09-14 13:22:55.137745
128,Sud,2,2026,89.28,4464.0,9,Anonyme,2025-09-12 13:22:55.137745
129,Nord,6,2024,36.84,1842.0,2,Benjamin Leroy,2026-01-11 13:22:55.137745
130,Nord,5,2025,44.06,2203.0,9,Michel Durand,2025-07-22 13:22:55.137745
131,Nord-Ouest,2,2025,134.48,7434.0,9,Pierre Bernard,2025-06-10 13:22:55.137745
132,Littoral,11,2026,45.53,2276.0,10,Michel Durand,2026-04-02 13:22:55.137745
133,Extrême-Nord,10,2026,23.23,1161.0,4,Stephanie Vincent,2026-03-17 13:22:55.137745
134,Littoral,6,2024,61.9,3095.0,8,Nicolas Garnier,2025-09-09 13:22:55.137745
135,Nord-Ouest,12,2025,116.19,5989.0,7,Michel Durand,2025-12-13 13:22:55.137745
136,Ouest,11,2025,142.86,8096.0,6,Julien Girard,2025-10-02 13:22:55.137745
137,Nord-Ouest,5,2024,47.85,2393.0,10,Claude Rousseau,2026-02-28 13:22:55.137745
138,Extrême-Nord,4,2025,20.0,1000.0,8,Jean Dupont,2025-12-16 13:22:55.137745
139,Sud,1,2026,36.78,1839.0,10,Jean Dupont,2025-07-14 13:22:55.137745
140,Nord-Ouest,4,2026,135.44,7510.0,2,Stephanie Vincent,2026-02-05 13:22:55.137745
141,Ouest,6,2024,137.48,7671.0,10,Michel Durand,2025-04-30 13:22:55.137745
142,Adamaoua,4,2024,96.35,4817.0,4,Valerie Blanchard,2025-12-13 13:22:55.137745
143,Sud-Ouest,1,2025,115.15,5907.0,8,Luc Fontaine,2025-06-20 13:22:55.137745
144,Extrême-Nord,6,2024,31.65,1583.0,6,Stephanie Vincent,2026-02-16 13:22:55.137745
145,Sud-Ouest,1,2025,148.75,8561.0,10,Emma Mercier,2026-03-08 13:22:55.137745
146,Extrême-Nord,3,2026,39.74,1987.0,6,Catherine Moreau,2025-10-05 13:22:55.137745
147,Littoral,6,2026,138.48,7750.0,6,Marc Leduc,2025-07-28 13:22:55.137745
148,Centre,10,2024,122.39,6479.0,3,Nicolas Garnier,2026-03-12 13:22:55.137745
149,Ouest,11,2025,158.77,9353.0,2,Pierre Bernard,2025-07-20 13:22:55.137745
150,Adamaoua,1,2024,61.19,3060.0,1,Catherine Moreau,2025-12-16 13:22:55.137745
151,Est,11,2024,20.0,1000.0,8,Julien Girard,2026-03-30 13:22:55.137745
152,Littoral,12,2025,121.02,6371.0,3,Benjamin Leroy,2026-01-24 13:22:55.137745
153,Sud,2,2026,54.41,2720.0,4,Michel Durand,2025-12-26 13:22:55.137745
154,Centre,6,2024,137.41,7666.0,5,Benjamin Leroy,2025-09-25 13:22:55.137745
155,Ouest,10,2026,136.97,7631.0,4,Thomas Dufour,2025-11-10 13:22:55.137745
156,Adamaoua,6,2026,20.0,1000.0,1,Anonyme,2025-07-31 13:22:55.137745
157,Centre,11,2024,130.13,7090.0,10,Nicolas Garnier,2025-08-11 13:22:55.137745
158,Est,4,2024,69.98,3499.0,1,Marie Martin,2025-07-15 13:22:55.137745
159,Ouest,6,2024,143.06,8112.0,5,Marie Martin,2026-02-02 13:22:55.137745
160,Nord,3,2026,59.78,2989.0,3,Benjamin Leroy,2025-10-22 13:22:55.137745
161,Adamaoua,2,2024,49.96,2498.0,7,Pierre Bernard,2026-02-21 13:22:55.137745
162,Sud-Ouest,6,2025,79.41,3970.0,5,Nicolas Garnier,2025-08-25 13:22:55.137745
163,Sud,1,2025,72.82,3641.0,8,Catherine Moreau,2025-09-22 13:22:55.137745
164,Nord-Ouest,12,2026,105.96,5298.0,6,Isabelle Lefevre,2026-04-15 13:22:55.137745
165,Nord-Ouest,6,2025,155.02,9056.0,7,Florence Mathieu,2026-02-24 13:22:55.137745
166,Littoral,12,2026,157.45,9249.0,4,Benjamin Leroy,2025-07-21 13:22:55.137745
167,Nord,8,2024,100.99,5050.0,2,Julien Girard,2025-06-08 13:22:55.137745
168,Extrême-Nord,11,2026,29.41,1470.0,1,Valerie Blanchard,2026-01-06 13:22:55.137745
169,Centre,11,2025,237.47,15570.0,8,Benjamin Leroy,2025-06-08 13:22:55.137745
170,Centre,1,2024,157.11,9222.0,5,Michel Durand,2025-09-08 13:22:55.137745
171,Est,4,2025,136.53,7596.0,3,Sophie Garcia,2025-11-11 13:22:55.137745
172,Adamaoua,12,2025,69.66,3483.0,8,Pierre Bernard,2025-05-24 13:22:55.137745
173,Centre,11,2026,178.94,10947.0,1,Catherine Moreau,2025-12-04 13:22:55.137745
174,Sud-Ouest,3,2026,91.18,4559.0,5,Isabelle Lefevre,2025-08-24 13:22:55.137745
175,Nord,4,2025,117.5,6092.0,4,Benjamin Leroy,2025-11-02 13:22:55.137745
176,Extrême-Nord,6,2025,69.52,3476.0,2,Stephanie Vincent,2025-12-11 13:22:55.137745
177,Littoral,8,2026,136.18,7568.0,5,Julien Girard,2025-07-17 13:22:55.137745
178,Centre,12,2025,169.58,10207.0,5,Emma Mercier,2025-09-29 13:22:55.137745
179,Adamaoua,2,2026,118.2,6147.0,5,Marie Martin,2025-08-07 13:22:55.137745
180,Centre,10,2025,73.08,3654.0,5,Anne Leblanc,2025-05-29 13:22:55.137745
181,Nord-Ouest,2,2026,24.51,1226.0,10,Nicolas Garnier,2026-04-14 13:22:55.137745
182,Est,8,2025,52.76,2638.0,9,Jean Dupont,2025-12-19 13:22:55.137745
183,Extrême-Nord,6,2025,47.65,2383.0,4,Stephanie Vincent,2026-02-22 13:22:55.137745
184,Sud,6,2025,94.25,4713.0,10,Marie Martin,2026-03-08 13:22:55.137745
185,Littoral,1,2024,154.3,9000.0,8,Emma Mercier,2026-01-04 13:22:55.137745
186,Sud,4,2025,20.0,1000.0,2,Valerie Blanchard,2025-10-04 13:22:55.137745
187,Nord,2,2025,62.79,3139.0,8,Isabelle Lefevre,2026-02-08 13:22:55.137745
188,Extrême-Nord,3,2025,20.0,1000.0,6,Isabelle Lefevre,2026-04-15 13:22:55.137745
189,Sud,4,2026,63.39,3170.0,1,Valerie Blanchard,2026-01-24 13:22:55.137745
190,Centre,11,2024,45.38,2269.0,9,Jean Dupont,2025-06-18 13:22:55.137745
191,Nord-Ouest,1,2026,59.36,2968.0,8,Julien Girard,2026-03-09 13:22:55.137745
192,Est,8,2024,20.0,1000.0,7,Marie Martin,2026-04-04 13:22:55.137745
193,Adamaoua,10,2024,101.85,5093.0,6,Thomas Dufour,2025-10-08 13:22:55.137745
194,Littoral,3,2025,86.74,4337.0,10,Anne Leblanc,2026-03-04 13:22:55.137745
195,Sud-Ouest,11,2026,79.68,3984.0,10,Pierre Bernard,2025-10-27 13:22:55.137745
196,Sud-Ouest,8,2024,101.49,5074.0,2,Thomas Dufour,2025-08-19 13:22:55.137745
197,Littoral,10,2025,156.99,9212.0,4,Anne Leblanc,2025-05-20 13:22:55.137745
198,Adamaoua,1,2025,120.05,6294.0,7,Benjamin Leroy,2025-12-23 13:22:55.137745
199,Adamaoua,1,2026,60.6,3030.0,5,Marie Martin,2025-12-02 13:22:55.137745
200,Centre,3,2025,162.56,9652.0,2,Sophie Garcia,2026-02-25 13:22:55.137745
201,Ouest,1,2024,141.77,8010.0,7,Florence Mathieu,2026-03-23 13:22:55.137745
202,Ouest,3,2025,113.18,5751.0,3,Florence Mathieu,2026-03-18 13:22:55.137745
203,Extrême-Nord,2,2025,54.43,2721.0,4,Nicolas Garnier,2025-10-28 13:22:55.137745
204,Centre,10,2026,112.18,5672.0,6,Marc Leduc,2025-11-05 13:22:55.137745
205,Sud-Ouest,1,2025,136.02,7555.0,7,Julien Girard,2026-01-14 13:22:55.137745
206,Nord-Ouest,2,2026,47.04,2352.0,4,Stephanie Vincent,2025-04-25 13:22:55.137745
207,Ouest,3,2026,111.78,5641.0,9,Julien Girard,2025-12-22 13:22:55.137745
208,Sud,11,2025,60.23,3012.0,6,Luc Fontaine,2025-07-09 13:22:55.137745
209,Centre,4,2025,117.07,6058.0,4,Michel Durand,2026-02-22 13:22:55.137745
210,Littoral,10,2026,126.37,6793.0,6,Nicolas Garnier,2025-06-07 13:22:55.137745
211,Nord,5,2024,80.22,4011.0,10,Michel Durand,2025-05-31 13:22:55.137745
212,Ouest,3,2025,116.96,6050.0,6,Valerie Blanchard,2025-07-15 13:22:55.137745
213,Adamaoua,3,2024,83.12,4156.0,7,Claude Rousseau,2025-06-14 13:22:55.137745
214,Littoral,8,2025,241.99,15927.0,9,Isabelle Lefevre,2025-06-05 13:22:55.137745
215,Sud,8,2026,40.59,2029.0,5,Benjamin Leroy,2026-04-21 13:22:55.137745
216,Littoral,9,2024,183.68,11320.0,1,Claude Rousseau,2026-02-01 13:22:55.137745
217,Extrême-Nord,11,2025,22.32,1116.0,2,Sophie Garcia,2025-06-18 13:22:55.137745
218,Ouest,1,2024,140.98,7947.0,3,Jean Dupont,2025-12-02 13:22:55.137745
219,Sud-Ouest,6,2025,20.0,1000.0,3,Pierre Bernard,2025-07-04 13:22:55.137745
220,Centre,12,2025,153.85,8964.0,9,Stephanie Vincent,2026-01-09 13:22:55.137745
221,Est,5,2024,89.67,4484.0,1,Luc Fontaine,2025-11-06 13:22:55.137745
222,Nord,1,2026,34.49,1724.0,8,Isabelle Lefevre,2025-11-25 13:22:55.137745
223,Ouest,12,2025,81.71,4086.0,6,Luc Fontaine,2025-08-26 13:22:55.137745
224,Sud-Ouest,11,2026,83.0,4150.0,9,Jean Dupont,2025-12-17 13:22:55.137745
225,Centre,11,2024,224.58,14552.0,1,Emma Mercier,2025-09-19 13:22:55.137745
226,Littoral,1,2025,160.61,9498.0,4,Julien Girard,2025-11-22 13:22:55.137745
227,Adamaoua,10,2024,106.27,5314.0,1,Benjamin Leroy,2026-03-29 13:22:55.137745
228,Nord,3,2026,55.58,2779.0,8,Michel Durand,2026-04-09 13:22:55.137745
229,Extrême-Nord,8,2024,33.99,1700.0,4,Valerie Blanchard,2025-07-10 13:22:55.137745
230,Sud-Ouest,2,2024,92.33,4617.0,4,Thomas Dufour,2025-05-22 13:22:55.137745
231,Nord,9,2025,70.27,3514.0,10,Emma Mercier,2025-06-25 13:22:55.137745
232,Nord,12,2026,105.74,5287.0,8,Marc Leduc,2025-10-29 13:22:55.137745
233,Nord-Ouest,8,2026,133.25,7337.0,1,Pierre Bernard,2026-01-31 13:22:55.137745
234,Extrême-Nord,5,2026,31.3,1565.0,4,Benjamin Leroy,2025-06-26 13:22:55.137745
235,Est,9,2026,112.99,5736.0,4,Anonyme,2025-11-04 13:22:55.137745
236,Ouest,12,2024,65.89,3294.0,2,Florence Mathieu,2025-05-02 13:22:55.137745
237,Nord,3,2025,44.97,2248.0,8,Sophie Garcia,2026-03-15 13:22:55.137745
238,Est,11,2025,182.79,11250.0,2,Florence Mathieu,2025-11-18 13:22:55.137745
239,Adamaoua,4,2025,20.0,1000.0,3,Stephanie Vincent,2025-05-30 13:22:55.137745
240,Nord-Ouest,10,2024,52.55,2627.0,3,Valerie Blanchard,2025-12-02 13:22:55.137745
241,Nord,3,2026,31.56,1578.0,10,Anne Leblanc,2025-06-16 13:22:55.137745
242,Sud-Ouest,3,2025,36.89,1844.0,6,Isabelle Lefevre,2025-09-30 13:22:55.137745
243,Adamaoua,10,2026,90.83,4542.0,8,Catherine Moreau,2025-12-04 13:22:55.137745
244,Sud,10,2024,36.11,1805.0,1,Benjamin Leroy,2025-07-10 13:22:55.137745
245,Nord-Ouest,5,2025,94.38,4719.0,6,Claude Rousseau,2026-04-16 13:22:55.137745
246,Ouest,5,2024,126.95,6839.0,7,Michel Durand,2025-06-24 13:22:55.137745
247,Adamaoua,1,2024,98.71,4935.0,9,Claude Rousseau,2025-05-30 13:22:55.137745
248,Ouest,10,2026,85.02,4251.0,10,Julien Girard,2026-02-23 13:22:55.137745
249,Extrême-Nord,10,2025,31.78,1589.0,1,Luc Fontaine,2025-05-09 13:22:55.137745
250,Sud,2,2025,40.69,2034.0,2,Florence Mathieu,2026-02-16 13:22:55.137745
251,Littoral,8,2025,34.51,1726.0,3,Isabelle Lefevre,2026-03-29 13:22:55.137745
252,Sud-Ouest,8,2025,157.81,9277.0,2,Claude Rousseau,2025-07-07 13:22:55.137745
253,Nord-Ouest,9,2025,86.99,4349.0,7,Claude Rousseau,2026-01-17 13:22:55.137745
254,Sud-Ouest,8,2025,101.95,5097.0,5,Isabelle Lefevre,2026-04-04 13:22:55.137745
255,Sud,5,2026,20.0,1000.0,5,Catherine Moreau,2025-11-28 13:22:55.137745
256,Ouest,11,2025,163.98,9764.0,8,Benjamin Leroy,2025-11-21 13:22:55.137745
257,Nord-Ouest,12,2026,24.81,1240.0,9,Stephanie Vincent,2025-07-22 13:45:31.145096
258,Sud,8,2025,60.61,3031.0,2,Catherine Moreau,2026-03-29 13:45:31.145096
259,Nord-Ouest,6,2025,44.62,2231.0,6,Julien Girard,2026-02-18 13:45:31.145096
260,Nord,3,2024,87.01,4350.0,7,Emma Mercier,2025-05-16 13:45:31.145096
261,Sud,11,2025,60.34,3017.0,8,Thomas Dufour,2026-04-09 13:45:31.145096
262,Nord,5,2024,20.0,1000.0,8,Sophie Garcia,2025-12-28 13:45:31.145096
263,Ouest,4,2024,86.21,4311.0,7,Sophie Garcia,2025-05-27 13:45:31.145096
264,Littoral,6,2025,196.69,12348.0,6,Sophie Garcia,2026-01-27 13:45:31.145096
265,Extrême-Nord,10,2026,20.0,1000.0,4,Anne Leblanc,2026-03-05 13:45:31.145096
266,Est,5,2024,87.43,4372.0,2,Julien Girard,2026-02-16 13:45:31.145096
267,Sud,4,2025,46.96,2348.0,10,Marie Martin,2025-06-17 13:45:31.145096
268,Ouest,9,2025,126.88,6834.0,2,Valerie Blanchard,2025-07-29 13:45:31.145096
269,Sud,8,2026,45.03,2252.0,5,Catherine Moreau,2026-03-17 13:45:31.145096
270,Adamaoua,3,2026,95.52,4776.0,3,Sophie Garcia,2026-04-17 13:45:31.145096
271,Sud-Ouest,2,2025,70.31,3515.0,9,Marc Leduc,2026-01-14 13:45:31.145096
272,Centre,9,2026,156.12,9143.0,2,Benjamin Leroy,2025-05-01 13:45:31.145096
273,Adamaoua,3,2025,30.7,1535.0,2,Jean Dupont,2026-03-26 13:45:31.145096
274,Est,5,2026,20.0,1000.0,1,Valerie Blanchard,2026-01-14 13:45:31.145096
275,Centre,9,2024,98.8,4940.0,4,Claude Rousseau,2026-02-20 13:45:31.145096
276,Est,3,2024,83.43,4171.0,7,Luc Fontaine,2025-08-28 13:45:31.145096
277,Extrême-Nord,10,2025,51.65,2582.0,8,Benjamin Leroy,2025-07-09 13:45:31.145096
278,Ouest,10,2026,118.78,6194.0,9,Thomas Dufour,2026-03-11 13:45:31.145096
279,Sud,2,2026,67.28,3364.0,5,Thomas Dufour,2025-09-21 13:45:31.145096
280,Adamaoua,3,2025,112.6,5705.0,9,Nicolas Garnier,2025-07-05 13:45:31.145096
281,Sud,5,2026,86.09,4305.0,6,Nicolas Garnier,2025-05-20 13:45:31.145096
282,Nord-Ouest,7,2025,138.17,7726.0,10,Thomas Dufour,2025-04-29 13:45:31.145096
283,Littoral,10,2026,129.03,7003.0,6,Marc Leduc,2026-02-08 13:45:31.145096
284,Sud,2,2025,46.21,2310.0,9,Catherine Moreau,2025-07-18 13:45:31.145096
